state,college,division,directory_url
CO,University of Colorado Boulder,NCAA DI,https://cubuffs.com/staff-directory
CO,Colorado State University,NCAA DI,https://csurams.com/staff-directory
CO,United States Air Force Academy,NCAA DI,https://goairforcefalcons.com/staff-directory
CO,University of Denver,NCAA DI,https://denverpioneers.com/staff-directory
CO,University of Northern Colorado,NCAA DI,https://uncbears.com/staff-directory
CO,Adams State University,NCAA DII,https://asugrizzlies.com/staff-directory
CO,Colorado Christian University,NCAA DII,https://ccucougars.com/staff-directory
CO,Colorado Mesa University,NCAA DII,https://cmumavericks.com/staff-directory
CO,Colorado School of Mines,NCAA DII,https://minesathletics.com/staff-directory
CO,Colorado State University Pueblo,NCAA DII,https://gothunderwolves.com/staff-directory
CO,Fort Lewis College,NCAA DII,https://goskyhawks.com/staff-directory
CO,Metropolitan State University of Denver (MSU Denver),NCAA DII,https://roadrunnersathletics.com/staff-directory
CO,Regis University,NCAA DII,https://regisrangers.com/staff-directory
CO,University of Colorado Colorado Springs (UCCS),NCAA DII,https://gomountainlions.com/staff-directory
CO,Western Colorado University,NCAA DII,https://gomountaineers.com/staff-directory
CO,Colorado College,NCAA DIII (DI in some sports),https://cctigers.com/staff-directory
