state,college,division,directory_url
FL,University of Florida,NCAA DI,https://floridagators.com/staff-directory
FL,Florida State University,NCAA DI,https://seminoles.com/staff-directory
FL,University of Miami,NCAA DI,https://miamihurricanes.com/staff-directory
FL,University of Central Florida (UCF),NCAA DI,https://ucfknights.com/staff-directory
FL,University of South Florida (USF),NCAA DI,https://gousfbulls.com/staff-directory
FL,Florida Atlantic University (FAU),NCAA DI,https://fausports.com/staff-directory
FL,Florida International University (FIU),NCAA DI,https://fiusports.com/staff-directory
FL,University of North Florida (UNF),NCAA DI,https://unfospreys.com/staff-directory
FL,Florida Gulf Coast University (FGCU),NCAA DI,https://fgcuathletics.com/staff-directory
FL,Bethune-Cookman University,NCAA DI,https://bcuathletics.com/staff-directory
FL,Florida A&M University (FAMU),NCAA DI,https://famuathletics.com/staff-directory
FL,Jacksonville University,NCAA DI,https://judolphins.com/staff-directory
FL,Stetson University,NCAA DI,https://gohatters.com/staff-directory
FL,Barry University,NCAA DII,https://gobarrybucs.com/staff-directory
FL,Eckerd College,NCAA DII,https://eckerdtritons.com/staff-directory
FL,Embry-Riddle Aeronautical University,NCAA DII,https://erauathletics.com/staff-directory
FL,Flagler College,NCAA DII,https://flaglerathletics.com/staff-directory
FL,Florida Institute of Technology (Florida Tech),NCAA DII,https://floridatechsports.com/staff-directory
FL,Florida Southern College,NCAA DII,https://fscmocs.com/staff-directory
FL,Lynn University,NCAA DII,https://lynnfightingknights.com/staff-directory
FL,Nova Southeastern University (NSU),NCAA DII,https://nsusharks.com/staff-directory
FL,Palm Beach Atlantic University (PBA),NCAA DII,https://pbasailfish.com/staff-directory
FL,Rollins College,NCAA DII,https://rollinssports.com/staff-directory
FL,Saint Leo University,NCAA DII,https://saintleolions.com/staff-directory
FL,University of Tampa,NCAA DII,https://tampaspartans.com/staff-directory
FL,Ave Maria University,NAIA,https://avemariagyrenes.com/staff-directory
FL,Florida College,NAIA,https://floridacollege.edu/athletics
FL,Keiser University,NAIA,https://kuseahawks.com/staff-directory
FL,Southeastern University,NAIA,https://fire.seu.edu/staff-directory
FL,St. Thomas University (Miami Gardens),NAIA,https://stubobcats.com/staff-directory
FL,Warner University,NAIA,https://warnerroyals.com/staff-directory
FL,Webber International University,NAIA,https://webberathletics.com/staff-directory
