state,college,division,directory_url
GA,University of Georgia,NCAA DI,https://georgiadogs.com/staff-directory
GA,Georgia Institute of Technology (Georgia Tech),NCAA DI,https://ramblinwreck.com/staff-directory
GA,Georgia State University,NCAA DI,https://georgiastatesports.com/staff-directory
GA,Georgia Southern University,NCAA DI,https://gseagles.com/staff-directory
GA,Kennesaw State University,NCAA DI,https://ksuowls.com/staff-directory
GA,Mercer University,NCAA DI,https://mercerbears.com/staff-directory
GA,Savannah State University,NCAA DII,https://tigerathletics.com/staff-directory
GA,Albany State University,NCAA DII,https://asugoldenrams.com/staff-directory
GA,Augusta University,NCAA DII,https://augustajags.com/staff-directory
GA,Clark Atlanta University,NCAA DII,https://clarkatlantasports.com/staff-directory
GA,Columbus State University,NCAA DII,https://csucougars.com/staff-directory
GA,Fort Valley State University,NCAA DII,https://fvsusports.com/staff-directory
GA,Georgia College & State University,NCAA DII,https://gcsubobcats.com/staff-directory
GA,Shorter University,NCAA DII,https://goshorterhawks.com/staff-directory
GA,University of West Georgia,NCAA DII,https://uwgsports.com/staff-directory
GA,Valdosta State University,NCAA DII,https://vstateblazers.com/staff-directory
GA,Berry College,NCAA DIII,https://berryvikings.com/staff-directory
GA,Emory University,NCAA DIII,https://emoryathletics.com/staff-directory
GA,LaGrange College,NCAA DIII,https://lagrangepanthers.com/staff-directory
GA,Piedmont University,NCAA DIII,https://piedmontlions.com/staff-directory
GA,Oglethorpe University,NCAA DIII,https://gopetrels.com/staff-directory
GA,Brewton-Parker College,NAIA,https://bpcathletics.com/staff-directory
GA,College of Coastal Georgia,NAIA,https://coastalgeorgiasports.com/staff-directory
GA,Dalton State College,NAIA,https://dsceagles.com/staff-directory
GA,Middle Georgia State University,NAIA,https://mga.knightsathletics.com/staff-directory
GA,Point University,NAIA,https://pointskyhawks.com/staff-directory
GA,Reinhardt University,NAIA,https://reinhardteagles.com/staff-directory
GA,Thomas University,NAIA,https://thomasnighthawks.com/staff-directory
GA,Truett McConnell University,NAIA,https://tmbears.com/staff-directory
GA,"Voorhees University (SC, competes in GA conf)",NAIA,https://voorheestigers.com/staff-directory
GA,Wesleyan College (GA),NCAA DIII,https://wesleyancollegeathletics.com/staff-directory
