state,college,division,directory_url
IA,Drake University,NCAA DI,https://godrakebulldogs.com/staff-directory
IA,University of Iowa,NCAA DI,https://hawkeyesports.com/staff-directory
IA,Iowa State University,NCAA DI,https://cyclones.com/staff-directory
IA,University of Northern Iowa,NCAA DI,https://unipanthers.com/staff-directory
IA,Upper Iowa University,NCAA DII,https://uiupeacocks.com/staff-directory
IA,Buena Vista University,NCAA DIII,https://bvuathletics.com/staff-directory
IA,Central College,NCAA DIII,https://athletics.central.edu/staff-directory
IA,Coe College,NCAA DIII,https://kohawkathletics.com/staff-directory
IA,Cornell College,NCAA DIII,https://cornellrams.com/staff-directory
IA,"Dubuque, University of",NCAA DIII,https://dbqspartanathletics.com/staff-directory
IA,Grinnell College,NCAA DIII,https://pioneers.grinnell.edu/staff-directory
IA,Loras College,NCAA DIII,https://duhawks.com/staff-directory
IA,Luther College,NCAA DIII,https://luther.edu/athletics
IA,Simpson College,NCAA DIII,https://simpsonathletics.com/staff-directory
IA,Wartburg College,NCAA DIII,https://go-knights.net/staff-directory
IA,Briar Cliff University,NAIA,https://bcuchargers.com/staff-directory
IA,Clarke University,NAIA,https://clarkepride.com/staff-directory
IA,"Des Moines Area CC (NJCAA, not included)",NJCAA,
IA,Dordt University,NAIA,https://dordtdefenders.com/staff-directory
IA,Grand View University,NAIA,https://gvvikings.com/staff-directory
IA,Graceland University (IA),NAIA,https://guyellowjackets.com/staff-directory
IA,Iowa Wesleyan University,NAIA,https://iw.edu/athletics
IA,Mount Mercy University,NAIA,https://mountmercy.mustangsports.com/staff-directory
IA,Northwestern College (IA),NAIA,https://nwcraiders.com/staff-directory
IA,Waldorf University,NAIA,https://waldorfwarriors.com/staff-directory
IA,William Penn University,NAIA,https://statesmenathletics.com/staff-directory
