state,college,division,directory_url
IL,University of Illinois Urbana-Champaign,NCAA DI,https://fightingillini.com/staff-directory
IL,Northwestern University,NCAA DI,https://nusports.com/staff-directory
IL,DePaul University,NCAA DI,https://depaulbluedemons.com/staff-directory
IL,Loyola University Chicago,NCAA DI,https://loyolaramblers.com/staff-directory
IL,Northern Illinois University (NIU),NCAA DI,https://niuhuskies.com/staff-directory
IL,Southern Illinois University Carbondale,NCAA DI,https://siusalukis.com/staff-directory
IL,Southern Illinois University Edwardsville (SIUE),NCAA DI,https://siuecougars.com/staff-directory
IL,Bradley University,NCAA DI,https://bradleybraves.com/staff-directory
IL,Illinois State University,NCAA DI,https://goredbirds.com/staff-directory
IL,Western Illinois University,NCAA DI,https://goleathernecks.com/staff-directory
IL,Chicago State University,NCAA DI,https://gocsucougars.com/staff-directory
IL,Lewis University,NCAA DII,https://lewisflyers.com/staff-directory
IL,McKendree University,NCAA DII,https://mckbearcats.com/staff-directory
IL,University of Illinois Springfield,NCAA DII,https://uisprairiestars.com/staff-directory
IL,Quincy University,NCAA DII,https://quhawks.com/staff-directory
IL,"Rockhurst University (MO, plays in IL conf)",NCAA DII,https://rockhursthawks.com/staff-directory
IL,Augustana College,NCAA DIII,https://athletics.augustana.edu/staff-directory
IL,Aurora University,NCAA DIII,https://athletics.aurora.edu/staff-directory
IL,Benedictine University,NCAA DIII,https://benueagles.com/staff-directory
IL,Elmhurst University,NCAA DIII,https://elmhurstbluejays.com/staff-directory
IL,Illinois College,NCAA DIII,https://illinoiscollegeathletics.com/staff-directory
IL,Illinois Wesleyan University,NCAA DIII,https://iwuathletics.com/staff-directory
IL,Knox College,NCAA DIII,https://prairiefire.knox.edu/staff-directory
IL,Lake Forest College,NCAA DIII,https://goforesters.com/staff-directory
IL,Millikin University,NCAA DIII,https://athletics.millikin.edu/staff-directory
IL,Monmouth College,NCAA DIII,https://monmouthscots.com/staff-directory
IL,North Central College,NCAA DIII,https://northcentralcardinals.com/staff-directory
IL,North Park University,NCAA DIII,https://athletics.northpark.edu/staff-directory
IL,Wheaton College,NCAA DIII,https://athletics.wheaton.edu/staff-directory
IL,Greenville University,NCAA DIII,https://athletics.greenville.edu/staff-directory
IL,Principia College,NCAA DIII,https://principiaathletics.com/staff-directory
IL,Illinois Institute of Technology (IIT),NCAA DIII,https://athletics.iit.edu/staff-directory
IL,Blackburn College,NCAA DIII,https://blackburnbeavers.com/staff-directory
IL,Eureka College,NCAA DIII,https://eurekareddevils.com/staff-directory
IL,"Fontbonne University (MO, competes regionally)",NCAA DIII,https://athletics.fontbonne.edu/staff-directory
IL,Olivet Nazarene University,NAIA,https://onutigers.com/staff-directory
IL,Saint Xavier University,NAIA,https://sxucougars.com/staff-directory
IL,University of St. Francis,NAIA,https://gofightingsaints.com/staff-directory
IL,Judson University,NAIA,https://judsoneagles.com/staff-directory
IL,Lincoln College (closed 2022),NAIA,
IL,Robert Morris University Illinois (merged),NAIA,
IL,Trinity International University,NAIA,https://tiutrojans.com/staff-directory
IL,Roosevelt University,NAIA,https://rooseveltlakers.com/staff-directory
IL,Governors State University,NAIA,https://gsujaguars.com/staff-directory
IL,Illinois Institute of Art (no athletics),NAIA,
