state,college,division,directory_url
KS,University of Kansas,NCAA DI,https://kuathletics.com/staff-directory
KS,Kansas State University,NCAA DI,https://kstatesports.com/staff-directory
KS,Wichita State University,NCAA DI,https://goshockers.com/staff-directory
KS,Emporia State University,NCAA DII,https://esuhornets.com/staff-directory
KS,Fort Hays State University,NCAA DII,https://fhsuathletics.com/staff-directory
KS,Pittsburg State University,NCAA DII,https://pittstategorillas.com/staff-directory
KS,Washburn University,NCAA DII,https://wusports.com/staff-directory
KS,No NCAA DIII schools in Kansas,N/A,
KS,Baker University,NAIA,https://bakerwildcats.com/staff-directory
KS,Benedictine College,NAIA,https://ravenathletics.com/staff-directory
KS,Bethany College (KS),NAIA,https://bethanyswedes.com/staff-directory
KS,Bethel College (KS),NAIA,https://bethelthreshers.com/staff-directory
KS,Friends University,NAIA,https://friendsathletics.com/staff-directory
KS,Kansas Wesleyan University,NAIA,https://kwucoyotes.com/staff-directory
KS,McPherson College,NAIA,https://macbulldogs.com/staff-directory
KS,MidAmerica Nazarene University,NAIA,https://mnusports.com/staff-directory
KS,Ottawa University,NAIA,https://ottawabraves.com/staff-directory
KS,"Saint Mary, University of (KS)",NAIA,https://gospires.com/staff-directory
KS,Southwestern College (KS),NAIA,https://buildersports.com/staff-directory
KS,Sterling College (KS),NAIA,https://scwarriors.com/staff-directory
KS,Tabor College,NAIA,https://taborbluejays.com/staff-directory
KS,University of Saint Mary,NAIA,https://gospires.com/staff-directory
