state,college,division,directory_url
KY,University of Kentucky,NCAA DI,https://ukathletics.com/staff-directory
KY,University of Louisville,NCAA DI,https://gocards.com/staff-directory
KY,Western Kentucky University,NCAA DI,https://wkusports.com/staff-directory
KY,Eastern Kentucky University,NCAA DI,https://ekusports.com/staff-directory
KY,Murray State University,NCAA DI,https://goracers.com/staff-directory
KY,Northern Kentucky University,NCAA DI,https://nkunorse.com/staff-directory
KY,Bellarmine University,NCAA DI,https://bellarminesports.com/staff-directory
KY,Kentucky State University,NCAA DII,https://ksuthorobreds.com/staff-directory
KY,Centre College,NCAA DIII,https://centrecolonels.com/staff-directory
KY,Thomas More University (reclassifying),NCAA DII (was NAIA),https://thomasmoresaints.com/staff-directory
KY,Transylvania University,NCAA DIII,https://transysports.com/staff-directory
KY,Berea College,NCAA DIII,https://bereemountaineers.com/staff-directory
KY,Alice Lloyd College,NAIA,https://alc.edu/athletics
KY,Asbury University,NAIA,https://asburyeagles.com/staff-directory
KY,Campbellsville University,NAIA,https://campbellsvilletigers.com/staff-directory
KY,Georgetown College (KY),NAIA,https://georgetowncollegeathletics.com/staff-directory
KY,Kentucky Christian University,NAIA,https://kcuathletics.com/staff-directory
KY,Lindsey Wilson College,NAIA,https://lwcsports.com/staff-directory
KY,Midway University,NAIA,https://gomidwayeagles.com/staff-directory
KY,University of the Cumberlands,NAIA,https://cumberlandspatriots.com/staff-directory
KY,Union College (KY),NAIA,https://gounionbulldogs.com/staff-directory
KY,University of Pikeville,NAIA,https://upikebears.com/staff-directory
KY,Spalding University,NCAA DIII,https://spaldingathletics.com/staff-directory
