state,college,division,directory_url
LA,Louisiana State University (LSU),NCAA DI,https://lsusports.net/staff-directory
LA,University of Louisiana at Lafayette,NCAA DI,https://ragincajuns.com/staff-directory
LA,University of Louisiana at Monroe,NCAA DI,https://ulmwarhawks.com/staff-directory
LA,Louisiana Tech University,NCAA DI,https://latechsports.com/staff-directory
LA,University of New Orleans,NCAA DI,https://unoprivateers.com/staff-directory
LA,Tulane University,NCAA DI,https://tulanegreenwave.com/staff-directory
LA,Grambling State University,NCAA DI,https://gsutigers.com/staff-directory
LA,Southern University,NCAA DI,https://gojagsports.com/staff-directory
LA,Nicholls State University,NCAA DI,https://geauxcolonels.com/staff-directory
LA,McNeese State University,NCAA DI,https://mcneesesports.com/staff-directory
LA,Southeastern Louisiana University,NCAA DI,https://lionsports.net/staff-directory
LA,Louisiana Christian University (formerly Louisiana College),NCAA DIII (reclassifying),https://lcwildcats.net/staff-directory
LA,Centenary College of Louisiana,NCAA DIII,https://gocentenary.com/staff-directory
LA,Dillard University,NAIA,https://dillardbleudevils.com/staff-directory
LA,Louisiana State University Alexandria (LSUA),NAIA,https://www.lsuagenerals.com/staff-directory
LA,Louisiana State University Shreveport (LSUS),NAIA,https://lsusathletics.com/staff-directory
LA,Loyola University New Orleans,NAIA,https://loyolawolfpack.com/staff-directory
LA,Our Lady of the Lake College (no athletics),NAIA,
LA,Southern University at New Orleans (SUNO),NAIA,https://suno.edu/athletics
LA,Xavier University of Louisiana,NAIA,https://xulagold.com/staff-directory
