state,college,division,directory_url
MN,"University of Minnesota, Twin Cities",NCAA DI,https://gophersports.com/staff-directory
MN,University of St. Thomas (MN),NCAA DI,https://tommiesports.com/staff-directory
MN,Bemidji State University,NCAA DII,https://bsubeavers.com/staff-directory
MN,"Concordia University, St. Paul",NCAA DII,https://cspbears.com/staff-directory
MN,"Minnesota State University, Mankato",NCAA DII,https://msumavericks.com/staff-directory
MN,Minnesota State University Moorhead,NCAA DII,https://msumdragons.com/staff-directory
MN,Southwest Minnesota State University,NCAA DII,https://smsumustangs.com/staff-directory
MN,St. Cloud State University,NCAA DII,https://scsuhuskies.com/staff-directory
MN,University of Minnesota Crookston,NCAA DII,https://goldeneaglesports.com/staff-directory
MN,University of Minnesota Duluth,NCAA DII,https://umdbulldogs.com/staff-directory
MN,Winona State University,NCAA DII,https://winonastatewarriors.com/staff-directory
MN,Augsburg University,NCAA DIII,https://athletics.augsburg.edu/staff-directory
MN,Bethel University (MN),NCAA DIII,https://athletics.bethel.edu/staff-directory
MN,Carleton College,NCAA DIII,https://athletics.carleton.edu/staff-directory
MN,College of Saint Benedict,NCAA DIII,https://gobennies.com/staff-directory
MN,College of Saint Scholastica,NCAA DIII,https://csssaints.com/staff-directory
MN,Concordia College Moorhead,NCAA DIII,https://concordiamn.prestosports.com/staff-directory
MN,Gustavus Adolphus College,NCAA DIII,https://athletics.gustavus.edu/staff-directory
MN,Hamline University,NCAA DIII,https://hamlineathletics.com/staff-directory
MN,Macalester College,NCAA DIII,https://athletics.macalester.edu/staff-directory
MN,Saint John’s University (MN),NCAA DIII,https://gojohnnies.com/staff-directory
MN,Saint Mary’s University of Minnesota,NCAA DIII,https://saintmaryssports.com/staff-directory
MN,University of Northwestern–St. Paul,NCAA DIII,https://unweagles.com/staff-directory
MN,University of Wisconsin–Superior (competes in MN conference),NCAA DIII,https://uwsyellowjackets.com/staff-directory
MN,Crown College (MN),NCAA DIII,https://athletics.crown.edu/staff-directory
MN,Martin Luther College,NCAA DIII,https://mlc-knights.com/staff-directory
MN,North Central University (MN),NCAA DIII,https://athletics.northcentral.edu/staff-directory
MN,"Northland College (WI, MN conference)",NCAA DIII,https://northlandcollegesports.com/staff-directory
MN,Bethany Lutheran College,NCAA DIII,https://blcvikings.com/staff-directory
MN,"Mayville State University (ND, competes regionally)",NAIA,https://msujimmies.com/staff-directory
MN,"University of Jamestown (ND, MN region)",NAIA,https://jimmiepride.com/staff-directory
