state,college,division,directory_url
MS,University of Mississippi (Ole Miss),NCAA DI,https://olemisssports.com/staff-directory
MS,Mississippi State University,NCAA DI,https://hailstate.com/staff-directory
MS,University of Southern Mississippi,NCAA DI,https://southernmiss.com/staff-directory
MS,Jackson State University,NCAA DI,https://gojsutigers.com/staff-directory
MS,Alcorn State University,NCAA DI,https://alcornsports.com/staff-directory
MS,Mississippi Valley State University,NCAA DI,https://mvsusports.com/staff-directory
MS,Delta State University,NCAA DII,https://gostatesmen.com/staff-directory
MS,Belhaven University,NCAA DIII,https://blazers.belhaven.edu/staff-directory
MS,Millsaps College,NCAA DIII,https://gomajors.com/staff-directory
MS,Mississippi University for Women,NCAA DIII,https://owlsathletics.athleticsite.com/staff-directory
MS,Rust College,NCAA DIII,https://rustathletics.com/staff-directory
MS,Blue Mountain Christian University,NAIA,https://bmcusports.com/staff-directory
MS,Mississippi College,NCAA DII,https://gochoctaws.com/staff-directory
MS,Tougaloo College,NAIA,https://athletics.tougaloo.edu/staff-directory
MS,William Carey University,NAIA,https://gowcucrusaders.com/staff-directory
