state,college,division,directory_url
NE,University of Nebraska–Lincoln,NCAA DI,https://huskers.com/staff-directory
NE,Creighton University,NCAA DI,https://gocreighton.com/staff-directory
NE,University of Nebraska Omaha (UNO),NCAA DI,https://omavs.com/staff-directory
NE,University of Nebraska at Kearney,NCAA DII,https://lopers.com/staff-directory
NE,Chadron State College,NCAA DII,https://chadroneagles.com/staff-directory
NE,Wayne State College (NE),NCAA DII,https://wscwildcats.com/staff-directory
NE,Nebraska Wesleyan University,NCAA DIII,https://nwusports.com/staff-directory
NE,Bellevue University,NAIA,https://bubruins.com/staff-directory
NE,College of Saint Mary,NAIA,https://csmflames.com/staff-directory
NE,Concordia University Nebraska,NAIA,https://cune.edu/athletics
NE,Doane University,NAIA,https://doaneathletics.com/staff-directory
NE,Hastings College,NAIA,https://hastingsbroncos.com/staff-directory
NE,Midland University,NAIA,https://midlandathletics.com/staff-directory
NE,Mount Marty University,NAIA,https://gomountmarty.com/staff-directory
NE,Peru State College,NAIA,https://pscbobcats.com/staff-directory
NE,"University of Jamestown (ND, GPAC conf)",NAIA,https://jimmiepride.com/staff-directory
NE,York University (NE),NAIA,https://yorkuniversityathletics.com/staff-directory
