state,college,division,directory_url
OK,University of Oklahoma,NCAA DI,https://soonersports.com/staff-directory
OK,Oklahoma State University,NCAA DI,https://okstate.com/staff-directory
OK,University of Tulsa,NCAA DI,https://tulsahurricane.com/staff-directory
OK,University of Central Oklahoma,NCAA DII,https://bronchosports.com/staff-directory
OK,Oral Roberts University,NCAA DI,https://oruathletics.com/staff-directory
OK,Cameron University,NCAA DII,https://cameronaggies.com/staff-directory
OK,East Central University,NCAA DII,https://ecutigers.com/staff-directory
OK,Northeastern State University,NCAA DII,https://goriverhawksgo.com/staff-directory
OK,Northwestern Oklahoma State University,NCAA DII,https://riderangersride.com/staff-directory
OK,Oklahoma Baptist University,NCAA DII,https://obubison.com/staff-directory
OK,Oklahoma Christian University,NCAA DII,https://oceagles.com/staff-directory
OK,Rogers State University,NCAA DII,https://rsuhillcats.com/staff-directory
OK,Southwestern Oklahoma State University,NCAA DII,https://swosuathletics.com/staff-directory
OK,None,N/A,
OK,Bacone College,NAIA,https://baconeathletics.com/staff-directory
OK,Langston University,NAIA,https://lulions.com/staff-directory
OK,Mid-America Christian University,NAIA,https://macuathletics.com/staff-directory
OK,Oklahoma City University,NAIA,https://ocusports.com/staff-directory
OK,Oklahoma Panhandle State University,NAIA,https://opsuaggies.com/staff-directory
OK,Southwestern Christian University,NAIA,https://scueagles.com/staff-directory
OK,University of Science and Arts of Oklahoma,NAIA,https://usao.edu/athletics
OK,"Wayland Baptist University (TX, competes regionally)",NAIA,https://wbuathletics.com/staff-directory
