state_abbr,college,division,directory_url
SC,Charleston Southern University,NCAA DI,https://csusports.com/staff-directory
SC,Clemson University,NCAA DI,https://clemsontigers.com/staff-directory
SC,Coastal Carolina University,NCAA DI,https://goccusports.com/staff-directory
SC,College of Charleston,NCAA DI,https://cofcsports.com/staff-directory
SC,Presbyterian College,NCAA DI,https://gobluehose.com/staff-directory
SC,University of South Carolina,NCAA DI,https://gamecocksonline.com/staff-directory
SC,University of South Carolina Upstate,NCAA DI,https://upstatespartans.com/staff-directory
SC,Winthrop University,NCAA DI,https://winthropeagles.com/staff-directory
SC,Wofford College,NCAA DI,https://woffordterriers.com/staff-directory
SC,The Citadel,NCAA DI,https://citadelsports.com/staff-directory
SC,Anderson University (SC),NCAA DII,https://autrojans.com/staff-directory
SC,Benedict College,NCAA DII,https://benedicttigers.com/staff-directory
SC,Claflin University,NCAA DII,https://athletics.claflin.edu/staff-directory
SC,Coker University,NCAA DII,https://cokercobras.com/staff-directory
SC,Converse University,NCAA DII,https://govalkyries.com/staff-directory
SC,Erskine College,NCAA DII,https://erskinesports.com/staff-directory
SC,Francis Marion University,NCAA DII,https://fmupatriots.com/staff-directory
SC,Lander University,NCAA DII,https://landerbearcats.com/staff-directory
SC,Limestone University,NCAA DII,https://golimestonesaints.com/staff-directory
SC,Newberry College,NCAA DII,https://newberrywolves.com/staff-directory
SC,North Greenville University,NCAA DII,https://nguathletics.com/staff-directory
SC,Southern Wesleyan University,NCAA DII,https://swuathletics.com/staff-directory
SC,None,N/A,
SC,Allen University,NAIA,https://auyellowjackets.com/staff-directory
SC,Columbia College (SC),NAIA,https://columbiacougars.com/staff-directory
SC,Morris College,NAIA,https://athletics.morris.edu
SC,Southern Wesleyan University (transitioned DII),NAIA,https://swuathletics.com/staff-directory
SC,Voorhees University,NAIA,https://voorhees.edu/athletics
