state_abbr,college,division,directory_url
UT,Brigham Young University (BYU),NCAA DI,https://byucougars.com/staff-directory
UT,Southern Utah University,NCAA DI,https://suutbirds.com/staff-directory
UT,University of Utah,NCAA DI,https://utahutes.com/staff-directory
UT,Utah State University,NCAA DI,https://utahstateaggies.com/staff-directory
UT,Utah Tech University (formerly Dixie State),NCAA DI,https://utahtechtrailblazers.com/staff-directory
UT,Utah Valley University,NCAA DI,https://gouvu.com/staff-directory
UT,Weber State University,NCAA DI,https://weberstatesports.com/staff-directory
UT,Westminster College (UT),NCAA DII,https://westminstergriffins.com/staff-directory
UT,None,N/A,
UT,Utah State University Eastern,NJCAA (no athletics),
