state_abbr,college,division,directory_url
WI,Marquette University,NCAA DI,https://gomarquette.com/staff-directory
WI,University of Wisconsin–Madison,NCAA DI,https://uwbadgers.com/staff-directory
WI,University of Wisconsin–Green Bay,NCAA DI,https://greenbayphoenix.com/staff-directory
WI,University of Wisconsin–Milwaukee,NCAA DI,https://mkepanthers.com/staff-directory
WI,University of Wisconsin–Parkside,NCAA DII,https://parksiderangers.com/staff-directory
WI,Alverno College,NCAA DIII,https://athletics.alverno.edu/staff-directory
WI,Beloit College,NCAA DIII,https://beloitcollegeathletics.com/staff-directory
WI,Carthage College,NCAA DIII,https://athletics.carthage.edu/staff-directory
WI,Concordia University Wisconsin,NCAA DIII,https://cuwfalcons.com/staff-directory
WI,Edgewood College,NCAA DIII,https://edgewoodcollegeeagles.com/staff-directory
WI,Lakeland University,NCAA DIII,https://lakelandmuskies.com/staff-directory
WI,Lawrence University,NCAA DIII,https://vikings.lawrence.edu/staff-directory
WI,Milwaukee School of Engineering (MSOE),NCAA DIII,https://go-raiders.com/staff-directory
WI,Ripon College,NCAA DIII,https://riponredhawks.com/staff-directory
WI,St. Norbert College,NCAA DIII,https://sncgreenknights.com/staff-directory
WI,University of Wisconsin–Eau Claire,NCAA DIII,https://blugolds.com/staff-directory
WI,University of Wisconsin–La Crosse,NCAA DIII,https://uwlathletics.com/staff-directory
WI,University of Wisconsin–Oshkosh,NCAA DIII,https://uwoshkoshtitans.com/staff-directory
WI,University of Wisconsin–Platteville,NCAA DIII,https://letsgopioneers.com/staff-directory
WI,University of Wisconsin–River Falls,NCAA DIII,https://uwrfsports.com/staff-directory
WI,University of Wisconsin–Stevens Point,NCAA DIII,https://athletics.uwsp.edu/staff-directory
WI,University of Wisconsin–Stout,NCAA DIII,https://stoutbluedevils.com/staff-directory
WI,University of Wisconsin–Superior,NCAA DIII,https://uwsyellowjackets.com/staff-directory
WI,University of Wisconsin–Whitewater,NCAA DIII,https://uwwsports.com/staff-directory
WI,Viterbo University,NAIA,https://viterboathletics.com/staff-directory
WI,Wisconsin Lutheran College,NCAA DIII,https://wlcsports.com/staff-directory
WI,Cardinal Stritch University,NAIA,https://stritchwolves.com/staff-directory
