state,college,division,directory_url
CA,"University of California, Berkeley (Cal)",NCAA DI,https://calbears.com/staff-directory
CA,"UCLA (University of California, Los Angeles)",NCAA DI,https://uclabruins.com/staff-directory
CA,USC (University of Southern California),NCAA DI,https://usctrojans.com/staff-directory
CA,Stanford University,NCAA DI,https://gostanford.com/staff-directory
CA,UC Davis,NCAA DI,https://ucdavisaggies.com/staff-directory
CA,UC Irvine,NCAA DI,https://ucirvinesports.com/staff-directory
CA,UC Riverside,NCAA DI,https://gohighlanders.com/staff-directory
CA,UC San Diego,NCAA DI,https://ucsdtritons.com/staff-directory
CA,UC Santa Barbara,NCAA DI,https://ucsbgauchos.com/staff-directory
CA,Long Beach State (CSULB),NCAA DI,https://longbeachstate.com/staff-directory
CA,Cal State Fullerton (CSUF),NCAA DI,https://fullertontitans.com/staff-directory
CA,Cal State Northridge (CSUN),NCAA DI,https://gomatadors.com/staff-directory
CA,Cal State Bakersfield (CSUB),NCAA DI,https://gorunners.com/staff-directory
CA,Sacramento State,NCAA DI,https://hornetsports.com/staff-directory
CA,San Diego State University (SDSU),NCAA DI,https://goaztecs.com/staff-directory
CA,San José State University (SJSU),NCAA DI,https://sjsuspartans.com/staff-directory
CA,"Fresno State (California State University, Fresno)",NCAA DI,https://gobulldogs.com/staff-directory
CA,Pepperdine University,NCAA DI,https://pepperdinewaves.com/staff-directory
CA,Loyola Marymount University (LMU),NCAA DI,https://lmulions.com/staff-directory
CA,Saint Mary’s College of California,NCAA DI,https://smcgaels.com/staff-directory
CA,Santa Clara University,NCAA DI,https://santaclarabroncos.com/staff-directory
CA,University of San Diego (USD),NCAA DI,https://usdtoreros.com/staff-directory
CA,University of San Francisco (USF),NCAA DI,https://usfdons.com/staff-directory
CA,University of the Pacific,NCAA DI,https://pacifictigers.com/staff-directory
CA,California Baptist University (CBU),NCAA DI,https://cbulancers.com/staff-directory
CA,Cal Poly (San Luis Obispo),NCAA DI,https://gopoly.com/staff-directory
CA,Azusa Pacific University,NCAA DII,https://athletics.apu.edu/staff-directory
CA,Biola University,NCAA DII,https://athletics.biola.edu/staff-directory
CA,"California State University, Dominguez Hills",NCAA DII,https://gotoros.com/staff-directory
CA,"California State University, East Bay",NCAA DII,https://eastbaypioneers.com/staff-directory
CA,"California State University, Monterey Bay",NCAA DII,https://otterathletics.com/staff-directory
CA,"California State University, San Bernardino",NCAA DII,https://csusbathletics.com/staff-directory
CA,"California State University, San Marcos",NCAA DII,https://csusmcougars.com/staff-directory
CA,"California State University, Stanislaus (Stanislaus State)",NCAA DII,https://warriorathletics.com/staff-directory
CA,"California State Polytechnic University, Pomona (Cal Poly Pomona)",NCAA DII,https://broncoathletics.com/staff-directory
CA,"California State University, Chico (Chico State)",NCAA DII,https://chicowildcats.com/staff-directory
CA,"California State University, Humboldt (Cal Poly Humboldt)",NCAA DII,https://humboldtathletics.com/staff-directory
CA,San Francisco State University,NCAA DII,https://sfstategators.com/staff-directory
CA,Sonoma State University,NCAA DII,https://sonomaseawolves.com/staff-directory
CA,Dominican University of California,NCAA DII,https://dominicanathletics.com/staff-directory
CA,Fresno Pacific University,NCAA DII,https://fpuathletics.com/staff-directory
CA,Point Loma Nazarene University (PLNU),NCAA DII,https://plnusealions.com/staff-directory
CA,Concordia University Irvine,NCAA DII,https://cuieagles.com/staff-directory
CA,Academy of Art University,NCAA DII,https://artuathletics.com/staff-directory
CA,Westmont College,NCAA DII (reclassifying),https://athletics.westmont.edu/staff-directory
CA,Caltech (California Institute of Technology),NCAA DIII,https://gocaltech.com/staff-directory
CA,California Lutheran University (Cal Lutheran),NCAA DIII,https://cluathletics.com/staff-directory
CA,Chapman University,NCAA DIII,https://chapmanathletics.com/staff-directory
CA,Occidental College,NCAA DIII,https://oxyathletics.com/staff-directory
CA,Pomona-Pitzer Colleges,NCAA DIII,https://sagehens.com/staff-directory
CA,Claremont-Mudd-Scripps (CMS) Athletics,NCAA DIII,https://cmsathletics.org/staff-directory
CA,University of La Verne,NCAA DIII,https://laverneleopards.com/staff-directory
CA,University of Redlands,NCAA DIII,https://goredlands.com/staff-directory
CA,Whittier College,NCAA DIII,https://gopoets.com/staff-directory
CA,UC Santa Cruz,NCAA DIII,https://goslugs.com/staff-directory
CA,The Master’s University,NAIA,https://gomustangs.com/staff-directory
CA,Vanguard University,NAIA,https://vanguardlions.com/staff-directory
CA,Hope International University (HIU),NAIA,https://athletics.hiu.edu/staff-directory
CA,Life Pacific University,NAIA,https://liferunningeagles.com/staff-directory
CA,Menlo College,NAIA,https://menloathletics.com/staff-directory
CA,Westcliff University,NAIA,https://athletics.westcliff.edu/staff-directory
CA,Simpson University,NAIA,https://simpsonredhawks.com/staff-directory
CA,San Diego Christian College,NAIA,https://sdcchawks.com/staff-directory
CA,La Sierra University,NAIA,https://lsuagoldeneagles.com/staff-directory
CA,Soka University of America,NAIA,https://sokaathletics.com/staff-directory
CA,UC Merced,NAIA,https://ucmercedbobcats.com/staff-directory
CA,Pacific Union College,NAIA,https://pioneersathletics.com/staff-directory
CA,Providence Christian College,NAIA,https://gccathletics.com/staff-directory
CA,Cal Maritime (CSU Maritime Academy),NAIA,https://www.csum.edu/athletics
