state,college,division,directory_url
IN,Ball State University,NCAA DI,https://ballstatesports.com/staff-directory
IN,Butler University,NCAA DI,https://butlersports.com/staff-directory
IN,Indiana State University,NCAA DI,https://gosycamores.com/staff-directory
IN,Indiana University Bloomington,NCAA DI,https://iuhoosiers.com/staff-directory
IN,Purdue University,NCAA DI,https://purduesports.com/staff-directory
IN,University of Evansville,NCAA DI,https://gopurpleaces.com/staff-directory
IN,University of Notre Dame,NCAA DI,https://fightingirish.com/staff-directory
IN,Purdue University Fort Wayne,NCAA DI,https://gomastodons.com/staff-directory
IN,Valparaiso University,NCAA DI,https://valpoathletics.com/staff-directory
IN,University of Indianapolis,NCAA DII,https://athletics.uindy.edu/staff-directory
IN,Anderson University,NCAA DIII,https://athletics.anderson.edu/staff-directory
IN,DePauw University,NCAA DIII,https://depauwtigers.com/staff-directory
IN,Earlham College,NCAA DIII,https://goearlham.com/staff-directory
IN,Franklin College,NCAA DIII,https://franklingrizzlies.com/staff-directory
IN,Hanover College,NCAA DIII,https://hanoverpanthers.com/staff-directory
IN,Manchester University,NCAA DIII,https://muspartans.com/staff-directory
IN,Rose-Hulman Institute of Technology,NCAA DIII,https://athletics.rose-hulman.edu/staff-directory
IN,Saint Mary’s College (IN),NCAA DIII,https://belles.saintmarys.edu/staff-directory
IN,Trine University,NCAA DIII,https://trinethunder.com/staff-directory
IN,Wabash College,NCAA DIII,https://sports.wabash.edu/staff-directory
IN,Saint Mary’s College,NCAA DIII,https://belles.saintmarys.edu/staff-directory
IN,Bethel University (IN),NAIA,https://bethelathletics.com/staff-directory
IN,Grace College,NAIA,https://gclancers.com/staff-directory
IN,Goshen College,NAIA,https://goleafs.net/staff-directory
IN,Huntington University,NAIA,https://huntington.edu/athletics
IN,Indiana Institute of Technology (Indiana Tech),NAIA,https://indianatechwarriors.com/staff-directory
IN,Indiana University East,NAIA,https://iueredwolves.com/staff-directory
IN,Indiana University Kokomo,NAIA,https://iukcougars.com/staff-directory
IN,Indiana University Northwest,NAIA,https://iunredhawks.com/staff-directory
IN,Indiana University South Bend,NAIA,https://iusbtitans.com/staff-directory
IN,Indiana Wesleyan University,NAIA,https://iwuwildcats.com/staff-directory
IN,Marian University (IN),NAIA,https://muknights.com/staff-directory
IN,Oakland City University,NAIA,https://ocusports.com/staff-directory
IN,"Saint Francis University (Fort Wayne, IN)",NAIA,https://saintfranciscougars.com/staff-directory
IN,Taylor University,NAIA,https://taylortrojans.com/staff-directory
IN,University of Saint Francis (IN),NAIA,https://sfcougars.com/staff-directory
IN,University of Indianapolis (plays NCAA DII),NAIA,https://athletics.uindy.edu/staff-directory
IN,Vincennes University,NJCAA,https://vuathletics.com/staff-directory
