state,college,division,directory_url
MO,University of Missouri (Mizzou),NCAA DI,https://mutigers.com/staff-directory
MO,Missouri State University,NCAA DI,https://missouristatebears.com/staff-directory
MO,Saint Louis University,NCAA DI,https://slubillikens.com/staff-directory
MO,Southeast Missouri State University,NCAA DI,https://semoredhawks.com/staff-directory
MO,University of Missouri–Kansas City (UMKC),NCAA DI,https://kcroos.com/staff-directory
MO,"Central Missouri, University of",NCAA DII,https://ucmathletics.com/staff-directory
MO,Drury University,NCAA DII,https://drurypanthers.com/staff-directory
MO,Lincoln University (MO),NCAA DII,https://lubluetigers.com/staff-directory
MO,Lindenwood University (reclassified DI),NCAA DI,https://lindenwoodlions.com/staff-directory
MO,Maryville University (MO),NCAA DII,https://maryvillesaints.com/staff-directory
MO,Missouri Southern State University,NCAA DII,https://mssulions.com/staff-directory
MO,Missouri Western State University,NCAA DII,https://gogriffons.com/staff-directory
MO,Northwest Missouri State University,NCAA DII,https://bearcatsports.com/staff-directory
MO,Rockhurst University,NCAA DII,https://rockhursthawks.com/staff-directory
MO,Southwest Baptist University,NCAA DII,https://sbubearcats.com/staff-directory
MO,Truman State University,NCAA DII,https://trumanbulldogs.com/staff-directory
MO,William Jewell College,NCAA DII,https://jewellcardinals.com/staff-directory
MO,Fontbonne University,NCAA DIII,https://athletics.fontbonne.edu/staff-directory
MO,"Greenville University (IL, MO conf)",NCAA DIII,https://athletics.greenville.edu/staff-directory
MO,Webster University,NCAA DIII,https://websterathletics.com/staff-directory
MO,Westminster College (MO),NCAA DIII,https://wcbluedevilathletics.com/staff-directory
MO,Washington University in St. Louis,NCAA DIII,https://washubears.com/staff-directory
MO,Avila University,NAIA,https://avilaathletics.com/staff-directory
MO,Baptist Bible College,NAIA,https://bbceagles.com/staff-directory
MO,Central Methodist University,NAIA,https://cmueagles.com/staff-directory
MO,Columbia College (MO),NAIA,https://columbiacougars.com/staff-directory
MO,Culver-Stockton College,NAIA,https://culver.edu/athletics
MO,Evangel University,NAIA,https://evangelathletics.com/staff-directory
MO,Hannibal–LaGrange University,NAIA,https://hlgtrojans.com/staff-directory
MO,Harris–Stowe State University,NAIA,https://hornetsathletics.com/staff-directory
MO,Missouri Baptist University,NAIA,https://mbuspartans.com/staff-directory
MO,Missouri Valley College,NAIA,https://moval.edu/athletics
MO,Park University,NAIA,https://parkathletics.com/staff-directory
MO,Stephens College,NAIA,https://stephensstars.com/staff-directory
MO,William Woods University,NAIA,https://wwuowls.com/staff-directory
