state,college,division,directory_url
NC,Appalachian State University,NCAA DI,https://appstatesports.com/staff-directory
NC,Campbell University,NCAA DI,https://gocamels.com/staff-directory
NC,Davidson College,NCAA DI,https://davidsonwildcats.com/staff-directory
NC,Duke University,NCAA DI,https://goduke.com/staff-directory
NC,East Carolina University,NCAA DI,https://ecupirates.com/staff-directory
NC,Elon University,NCAA DI,https://elonphoenix.com/staff-directory
NC,Gardner-Webb University,NCAA DI,https://gwusports.com/staff-directory
NC,High Point University,NCAA DI,https://highpointpanthers.com/staff-directory
NC,North Carolina A&T State University,NCAA DI,https://ncataggies.com/staff-directory
NC,North Carolina Central University,NCAA DI,https://nccueaglepride.com/staff-directory
NC,North Carolina State University (NC State),NCAA DI,https://gopack.com/staff-directory
NC,University of North Carolina at Chapel Hill (UNC),NCAA DI,https://goheels.com/staff-directory
NC,UNC Asheville,NCAA DI,https://uncabulldogs.com/staff-directory
NC,UNC Charlotte,NCAA DI,https://charlotte49ers.com/staff-directory
NC,UNC Greensboro,NCAA DI,https://uncgspartans.com/staff-directory
NC,UNC Wilmington,NCAA DI,https://uncwsports.com/staff-directory
NC,Wake Forest University,NCAA DI,https://godeacs.com/staff-directory
NC,Western Carolina University,NCAA DI,https://catamountsports.com/staff-directory
NC,Winston-Salem State University,NCAA DII,https://wssurams.com/staff-directory
NC,Barton College,NCAA DII,https://bartonbulldogs.com/staff-directory
NC,Belmont Abbey College,NCAA DII,https://abbeyathletics.com/staff-directory
NC,Catawba College,NCAA DII,https://gocatawbaindians.com/staff-directory
NC,Chowan University,NCAA DII,https://gocuhawks.com/staff-directory
NC,Fayetteville State University,NCAA DII,https://fsubroncos.com/staff-directory
NC,Johnson C. Smith University,NCAA DII,https://goldenbullsports.com/staff-directory
NC,Lees-McRae College,NCAA DII,https://lmcbobcats.com/staff-directory
NC,Lenoir-Rhyne University,NCAA DII,https://lrbears.com/staff-directory
NC,Livingstone College,NCAA DII,https://bluebearathletics.com/staff-directory
NC,Mars Hill University,NCAA DII,https://marshilllions.com/staff-directory
NC,"Mount Olive, University of",NCAA DII,https://umotrojans.com/staff-directory
NC,Queens University of Charlotte,NCAA DI (recently),https://queensathletics.com/staff-directory
NC,Saint Augustine’s University,NCAA DII,https://saintaugfalcons.com/staff-directory
NC,Shaw University,NCAA DII,https://shawbears.com/staff-directory
NC,UNC Pembroke,NCAA DII,https://uncpbraves.com/staff-directory
NC,Wingate University,NCAA DII,https://wingatebulldogs.com/staff-directory
NC,Brevard College,NCAA DIII,https://bctornados.com/staff-directory
NC,Guilford College,NCAA DIII,https://guilfordquakers.com/staff-directory
NC,Greensboro College,NCAA DIII,https://greensborocollegesports.com/staff-directory
NC,Methodist University,NCAA DIII,https://mumonarchs.com/staff-directory
NC,Meredith College,NCAA DIII,https://goavengingangels.com/staff-directory
NC,North Carolina Wesleyan University,NCAA DIII,https://ncwcsports.com/staff-directory
NC,Pfeiffer University,NCAA DIII,https://gofalconsports.com/staff-directory
NC,Salem College,NCAA DIII,https://salemspirits.com/staff-directory
NC,Warren Wilson College,NCAA DIII,https://warrenwilsonowls.com/staff-directory
NC,Montreat College,NAIA,https://montreatcavaliers.com/staff-directory
NC,Johnson & Wales University (Charlotte),USCAA/NAIA,https://jwusports.com/staff-directory
NC,St. Andrews University,NAIA,https://saintaathletics.com/staff-directory
