state,college,division,directory_url
NH,University of New Hampshire (UNH),NCAA DI,https://unhwildcats.com/staff-directory
NH,Franklin Pierce University,NCAA DII,https://athletics.franklinpierce.edu/staff-directory
NH,Saint Anselm College,NCAA DII,https://saintanselmhawks.com/staff-directory
NH,Southern New Hampshire University (SNHU),NCAA DII,https://snhupenmen.com/staff-directory
NH,Colby-Sawyer College,NCAA DIII,https://colby-sawyerathletics.com/staff-directory
NH,Dartmouth College,NCAA DI (Ivy League),https://dartmouthsports.com/staff-directory
NH,Keene State College,NCAA DIII,https://keeneowls.com/staff-directory
NH,New England College,NCAA DIII,https://gopilgrims.com/staff-directory
NH,Plymouth State University,NCAA DIII,https://plymouthpanthers.com/staff-directory
NH,Rivier University,NCAA DIII,https://rivraders.com/staff-directory
