state_abbr,college,division,directory_url
OR,University of Oregon,NCAA DI,https://goducks.com/staff-directory
OR,Oregon State University,NCAA DI,https://osubeavers.com/staff-directory
OR,Portland State University,NCAA DI,https://goviks.com/staff-directory
OR,University of Portland,NCAA DI,https://portlandpilots.com/staff-directory
OR,Western Oregon University,NCAA DII,https://wouwolves.com/staff-directory
OR,George Fox University,NCAA DIII,https://athletics.georgefox.edu/staff-directory
OR,Lewis & Clark College,NCAA DIII,https://lcpioneers.com/staff-directory
OR,Linfield University,NCAA DIII,https://golinfieldwildcats.com/staff-directory
OR,Pacific University (OR),NCAA DIII,https://goboxers.com/staff-directory
OR,Willamette University,NCAA DIII,https://willamettebearcats.com/staff-directory
OR,Bushnell University,NAIA,https://bushnellbeacons.com/staff-directory
OR,Corban University,NAIA,https://corbanwarriors.com/staff-directory
OR,Eastern Oregon University,NAIA,https://eousports.com/staff-directory
OR,Multnomah University,NAIA,https://gomulions.com/staff-directory
OR,Oregon Institute of Technology (Oregon Tech),NAIA,https://oregontechowls.com/staff-directory
OR,Southern Oregon University,NAIA,https://souraiders.com/staff-directory
OR,Warner Pacific University,NAIA,https://wpwarriors.com/staff-directory
