state_abbr,college,division,directory_url
SD,South Dakota State University,NCAA DI,https://gojacks.com/staff-directory
SD,University of South Dakota,NCAA DI,https://goyotes.com/staff-directory
SD,Augustana University (SD),NCAA DII,https://goaugie.com/staff-directory
SD,Black Hills State University,NCAA DII,https://bhsuathletics.com/staff-directory
SD,Northern State University,NCAA DII,https://nsuwolves.com/staff-directory
SD,South Dakota Mines (SD School of Mines & Tech),NCAA DII,https://gominesathletics.com/staff-directory
SD,University of Sioux Falls,NCAA DII,https://usfcougars.com/staff-directory
SD,None,N/A,
SD,Dakota State University,NAIA,https://dsuathletics.com/staff-directory
SD,Dakota Wesleyan University,NAIA,https://dwuathletics.com/staff-directory
SD,Mount Marty University,NAIA,https://gomountmarty.com/staff-directory
SD,"Northern State University (listed NCAA DII, included for reference)",NAIA,https://nsuwolves.com/staff-directory
SD,Presentation College (closed 2023),NAIA,
SD,"University of Sioux Falls (formerly NAIA, now DII)",NAIA,https://usfcougars.com/staff-directory
