state_abbr,college,division,directory_url
TN,Austin Peay State University,NCAA DI,https://letsgopeay.com/staff-directory
TN,Belmont University,NCAA DI,https://belmontbruins.com/staff-directory
TN,East Tennessee State University,NCAA DI,https://etsubucs.com/staff-directory
TN,Lipscomb University,NCAA DI,https://lipscombsports.com/staff-directory
TN,Middle Tennessee State University,NCAA DI,https://goblueraiders.com/staff-directory
TN,Tennessee State University,NCAA DI,https://tsutigers.com/staff-directory
TN,Tennessee Technological University,NCAA DI,https://ttusports.com/staff-directory
TN,University of Memphis,NCAA DI,https://gotigersgo.com/staff-directory
TN,University of Tennessee,NCAA DI,https://utsports.com/staff-directory
TN,University of Tennessee at Chattanooga,NCAA DI,https://gomocs.com/staff-directory
TN,University of Tennessee at Martin,NCAA DI,https://utmsports.com/staff-directory
TN,Vanderbilt University,NCAA DI,https://vucommodores.com/staff-directory
TN,Carson-Newman University,NCAA DII,https://cneagles.com/staff-directory
TN,Christian Brothers University,NCAA DII,https://cbubucs.com/staff-directory
TN,King University (TN),NCAA DII,https://kingtornado.com/staff-directory
TN,Lee University,NCAA DII,https://leeuflames.com/staff-directory
TN,Lincoln Memorial University,NCAA DII,https://lmurailsplitters.com/staff-directory
TN,Trevecca Nazarene University,NCAA DII,https://tnutrojans.com/staff-directory
TN,Tusculum University,NCAA DII,https://tusculumpioneers.com/staff-directory
TN,Union University,NCAA DII,https://uuathletics.com/staff-directory
TN,Maryville College (TN),NCAA DIII,https://mcscots.com/staff-directory
TN,Rhodes College,NCAA DIII,https://rhodeslynx.com/staff-directory
TN,Sewanee: The University of the South,NCAA DIII,https://sewaneetigers.com/staff-directory
TN,Bethel University (TN),NAIA,https://bethelathletics.com/staff-directory
TN,Bryan College,NAIA,https://bryanlions.com/staff-directory
TN,Cumberland University,NAIA,https://gocumberlandathletics.com/staff-directory
TN,Fisk University,NAIA,https://fisk.edu/athletics
TN,Freed-Hardeman University,NAIA,https://gofhulions.com/staff-directory
TN,Lane College,NAIA (reclassified NCAA DII),https://golcdragons.com/staff-directory
TN,Martin Methodist College (now UT Southern),NAIA,https://utsouthernbanner.com/staff-directory
TN,Milligan University,NAIA,https://milliganbuffs.com/staff-directory
TN,Tennessee Wesleyan University,NAIA,https://twbulldogs.com/staff-directory
