state_abbr,college,division,directory_url
WA,Eastern Washington University,NCAA DI,https://goeags.com/staff-directory
WA,Gonzaga University,NCAA DI,https://gozags.com/staff-directory
WA,Seattle University,NCAA DI,https://goseattleu.com/staff-directory
WA,University of Washington,NCAA DI,https://gohuskies.com/staff-directory
WA,Washington State University,NCAA DI,https://wsucougars.com/staff-directory
WA,Central Washington University,NCAA DII,https://wildcatsports.com/staff-directory
WA,Saint Martin’s University,NCAA DII,https://smusaints.com/staff-directory
WA,Seattle Pacific University,NCAA DII,https://spufalcons.com/staff-directory
WA,Western Washington University,NCAA DII,https://wwuvikings.com/staff-directory
WA,Pacific Lutheran University,NCAA DIII,https://golutes.com/staff-directory
WA,University of Puget Sound,NCAA DIII,https://loggerathletics.com/staff-directory
WA,Whitman College,NCAA DIII,https://athletics.whitman.edu/staff-directory
WA,Whitworth University,NCAA DIII,https://whitworthpirates.com/staff-directory
WA,Evergreen State College,NAIA,https://gogeoducks.com/staff-directory
WA,Northwest University,NAIA,https://nueagles.com/staff-directory
WA,"University of Providence (MT, competes in WA/Frontier)",NAIA,https://uprovidenceathletics.com/staff-directory
WA,Walla Walla University,NAIA,https://uwolves.com/staff-directory
WA,"Warner Pacific University (Portland, OR - competes regionally)",NAIA,https://wpwarriors.com/staff-directory
